American Government: 2016-17,632,5,6,Service Learning Academy,Fall,1,3,38,760,0,0,0,0,2,0,6001 Dodge St,United States of America,Omaha,NE,68182,9,41.25789,-96.01074
Beveridge Community Garden: 2016-17,617,5,6,Service Learning Academy,Fall,1,3,22,38,21,105,0,0,2,0,6001 Dodge St,United States of America,Omaha,NE,68182,9,41.25789,-96.01074
Biology: 2016-17,615,5,6,Service Learning Academy,Fall,1,3,15,300,0,0,0,0,2,0,6001 Dodge St,United States of America,Omaha,NE,68182,9,41.25789,-96.01074
Black Resistance: 2016-17,611,5,6,Service Learning Academy,Spring,1,3,25,25,51,76,0,0,2,0,6001 Dodge St,United States of America,Omaha,NE,68182,9,41.25789,-96.01074
Black Studies: 2016-17,610,5,6,Service Learning Academy,Fall,1,3,29,580,0,0,0,0,2,0,6001 Dodge St,United States of America,Omaha,NE,68182,9,41.25789,-96.01074
Boys Town Ethics: 2016-17,609,5,6,Service Learning Academy,Spring,1,3,8,116,16,128,0,0,2,0,6001 Dodge St,United States of America,Omaha,NE,68182,9,41.25789,-96.01074
Burke Gardens: 2016-17,606,5,6,Service Learning Academy,Spring,1,2,5,30,8,40,0,0,2,0,6001 Dodge St,United States of America,Omaha,NE,68182,9,41.25789,-96.01074
CADRE: 2016-17,605,5,6,Service Learning Academy,Summer,1,2,29,580,0,0,0,0,2,0,6001 Dodge St,United States of America,Omaha,NE,68182,9,41.25789,-96.01074
Capstone MIS: 2016-17,603,5,6,Service Learning Academy,Spring,1,2,23,460,0,0,0,0,2,0,6001 Dodge St,United States of America,Omaha,NE,68182,9,41.25789,-96.01074
Child Welfare: 2016-17,600,5,6,Service Learning Academy,Fall,1,2,21,420,0,0,0,0,2,0,6001 Dodge St,United States of America,Omaha,NE,68182,9,41.25789,-96.01074
Children's Literature: 2016-17,595,5,6,Service Learning Academy,Fall,1,2,22,440,0,0,0,0,2,0,6001 Dodge St,United States of America,Omaha,NE,68182,9,41.25789,-96.01074
Children's Literature at the Library: 2016-17,594,5,6,Service Learning Academy,Fall,1,2,23,460,0,0,0,0,2,0,6001 Dodge St,United States of America,Omaha,NE,68182,9,41.25789,-96.01074
Circle of Friends: 2016-17,593,5,6,Service Learning Academy,Fall,1,2,20,70,17,17,0,0,2,0,6001 Dodge St,United States of America,Omaha,NE,68182,9,41.25789,-96.01074
City Sprouts Cookbook: 2016-17,592,5,6,Service Learning Academy,Fall,1,2,18,180,10,85,0,0,2,0,6001 Dodge St,United States of America,Omaha,NE,68182,9,41.25789,-96.01074
College Prep & Family Learning: 2016-17 (001),560,5,6,Service Learning Academy,Fall,1,2,23,483,0,0,0,0,2,0,6001 Dodge St,United States of America,Omaha,NE,68182,9,41.25789,-96.01074
College Prep & Family Learning: 2016-17 (002),559,5,6,Service Learning Academy,Spring,1,2,23,517,34,0,0,0,2,0,6001 Dodge St,United States of America,Omaha,NE,68182,9,41.25789,-96.01074
Communication & Leadership: 2016-17,555,5,6,Service Learning Academy,Fall,1,2,42,252,30,52,0,0,2,0,6001 Dodge St,United States of America,Omaha,NE,68182,9,41.25789,-96.01074
Completely PAWS: 2016-17 (002),546,5,6,Service Learning Academy,Fall,1,2,4,136,4,16,0,0,2,0,6001 Dodge St,United States of America,Omaha,NE,68182,9,41.25789,-96.01074
Composition: 2016-17,545,5,6,Service Learning Academy,Spring,1,2,19,380,0,0,0,0,2,0,6001 Dodge St,United States of America,Omaha,NE,68182,9,41.25789,-96.01074
Cultural Narratives: 2016-17,542,5,6,Service Learning Academy,Spring,1,2,6,52,35,175,0,0,2,0,6001 Dodge St,United States of America,Omaha,NE,68182,9,41.25789,-96.01074
Del Bharath class: 2016-17,539,5,6,Service Learning Academy,Spring,1,2,18,360,0,0,0,0,2,0,6001 Dodge St,United States of America,Omaha,NE,68182,9,41.25789,-96.01074
Dialoguing in Today's World: 2016-17,537,5,6,Service Learning Academy,Summer,1,2,20,600,35,280,0,0,2,0,6001 Dodge St,United States of America,Omaha,NE,68182,9,41.25789,-96.01074
Digital and Social Media Responsibility: 2016-17,536,5,6,Service Learning Academy,Summer,2,2,10,40,20,0,0,0,2,0,6001 Dodge St,United States of America,Omaha,NE,68182,9,41.25789,-96.01074
Drawing: 2016-17,533,5,6,Service Learning Academy,Fall,2,2,15,300,0,0,0,0,2,0,6001 Dodge St,United States of America,Omaha,NE,68182,9,41.25789,-96.01074
Drill Meet: 2016-17,530,5,6,Service Learning Academy,Spring,2,2,0,0,0,0,0,0,2,0,6001 Dodge St,United States of America,Omaha,NE,68182,9,41.25789,-96.01074
Editing Principles Art: 2016-17 (001),528,5,6,Service Learning Academy,Spring,2,2,6,60,38,266,0,0,2,0,6001 Dodge St,United States of America,Omaha,NE,68182,9,41.25789,-96.01074
Editing Principles Art: 2016-17 (002),527,5,6,Service Learning Academy,Fall,2,2,11,55,38,342,0,0,2,0,6001 Dodge St,United States of America,Omaha,NE,68182,9,41.25789,-96.01074
Ethnic Diversity Language Book: 2016-17,521,5,6,Service Learning Academy,Fall,2,2,3,39,12,126,0,0,2,0,6001 Dodge St,United States of America,Omaha,NE,68182,9,41.25789,-96.01074
Etiquette through Music: 2016-17,520,5,6,Service Learning Academy,Spring,2,2,8,130,12,6,0,0,2,0,6001 Dodge St,United States of America,Omaha,NE,68182,9,41.25789,-96.01074
Fall Festival: 2016-17,514,5,6,Service Learning Academy,Fall,2,2,20,371,0,0,0,0,2,0,6001 Dodge St,United States of America,Omaha,NE,68182,9,41.25789,-96.01074
Family Centered Partnerships: 2016-17,512,5,6,Service Learning Academy,Spring,2,2,29,580,0,0,0,0,2,0,6001 Dodge St,United States of America,Omaha,NE,68182,9,41.25789,-96.01074
Chemistry Water Testing: 2017-18,601,5,6,Service Learning Academy,Fall,2,2,3,3,19,28,0,0,2,0,6001 Dodge St,United States of America,Omaha,NE,68182,9,41.25789,-96.01074
Data Visualization: 2017-18,540,5,6,Service Learning Academy,Fall,2,2,21,1071,0,0,0,0,2,0,6001 Dodge St,United States of America,Omaha,NE,68182,9,41.25789,-96.01074
Etiquette Through Music: 2017-18,519,5,6,Service Learning Academy,Spring,2,2,11,220,12,132,0,0,2,0,6001 Dodge St,United States of America,Omaha,NE,68182,9,41.25789,-96.01074
Connections Through Music: 2017-18,544,5,6,Service Learning Academy,Fall,2,2,4,32,23,46,0,0,2,0,6001 Dodge St,United States of America,Omaha,NE,68182,9,41.25789,-96.01074
Early Childhood Assessment: 2017-18,529,5,6,Service Learning Academy,Fall,2,2,7,210,0,0,0,0,2,0,6001 Dodge St,United States of America,Omaha,NE,68182,9,41.25789,-96.01074
Completely Kids:  2017-18,550,5,6,Service Learning Academy,Fall,2,2,4,232,12,12,0,0,2,0,6001 Dodge St,United States of America,Omaha,NE,68182,9,41.25789,-96.01074
Completely Kids: 2017-18,549,5,6,Service Learning Academy,Spring,3,3,8,302,0,0,0,0,2,0,6001 Dodge St,United States of America,Omaha,NE,68182,9,41.25789,-96.01074
Down Syndrome Alliance: 2017-18,535,5,6,Service Learning Academy,Fall,3,3,7,455,21,21,0,0,2,0,6001 Dodge St,United States of America,Omaha,NE,68182,9,41.25789,-96.01074
Alliance for a Better Omaha: 2017-18 (001),635,5,6,Service Learning Academy,Fall,3,3,5,200,0,0,0,0,2,0,6001 Dodge St,United States of America,Omaha,NE,68182,9,41.25789,-96.01074
Alliance for a Better Omaha: 2017-18 (002),634,5,6,Service Learning Academy,Spring,3,3,6,226,0,0,0,0,2,0,6001 Dodge St,United States of America,Omaha,NE,68182,9,41.25789,-96.01074
